model,loop,paper_dloc,witness_concurrence,witness_state_fidelity,estimated_dloc,ideal_dloc,unitary_overlap,schmidt_s1,schmidt_s2,schmidt_s3,schmidt_s4
BHZ,CT,0.18,0.15655382640078427,0.9881182292269911,0.17796693414705989,0.17993925615064146,0.999978647571251,1.9920823708527398,0.17772212964014444,0.004330118076332194,0.001980517948041744
BHZ,CB,0.18,0.19335604668385056,0.9884641122416084,0.1795416275967323,0.1799392561506572,0.9999604973856111,1.9919413260559886,0.17906889367549048,0.00970837321196873,0.0031356590573688547
BHZ,C_plus,0.01,0.011520045498510056,0.9891463461598498,0.012520817175190081,5.6238608657422876e-09,0.9999654293879652,1.9999608072844046,0.011623990340850368,0.004545018521567871,0.000997487594831434
BHZ,C_minus,0.37,0.32030287458287954,0.987090140057193,0.3618124928202692,0.35951419679204416,0.9999716174310538,1.9672732574847236,0.3602655577142189,0.006352800311606657,0.0020737016437892284
SSH,CL,0.2,0.18387306025133074,0.9930877405054738,0.19868491588479514,0.19991667708271676,0.9999879290949533,1.9901310760500315,0.19841548272595777,0.0024844955215999635,0.001850307155424023
SSH,CR,0.2,0.18740585980130578,0.9867381058220287,0.19990041542563766,0.19991667708271713,0.9999505193813667,1.9900099573938526,0.19958080108414208,0.0043781992011343186,0.0029503700925568484
SSH,Cdiag,0.14,0.1375225314603504,0.9894026433038547,0.139982544885744,0.13997141841851063,0.9999706673772072,1.9951013221370908,0.13984039346775726,0.003562423542488701,0.0016394816611222684
SSH,Canti,0.38,0.3444785912879065,0.9946534746692988,0.37993234410329785,0.37942867453822915,0.9999770117685359,1.963913908903336,0.37812657631519214,0.007757484466127597,0.001507360252285428
BBH,Cx,0.01,0.012496985346686456,0.9902496169965306,0.017731488952525784,0.009999989583337837,0.9999758478752598,1.9999214915437262,0.01573732562822609,0.0064599777536336524,0.004963157362891867
BBH,Cy,0.008,0.017296047599254148,0.99099048382168,0.011046580881118439,0.00799999466669292,0.9999696788979547,1.9999694955398837,0.010227492087884291,0.003686709922385349,0.0019553734895424555
BBH,Cdiag,0.15,0.05649485931837374,0.9878679602823387,0.1476103436380768,0.1522593584775175,0.9999744197077438,1.9945535596508066,0.13672143595910274,0.055162690073974716,0.004519320455741496
BBH,Canti,0.15,0.05180353778771669,0.9888193189194723,0.15122807550909537,0.1522593584775175,0.9999628226428473,1.9942825976974543,0.13984471855198122,0.056747237523186306,0.007754111664150235
