kx,D_top,D_diag,D_anti,ep_top,ep_diag,ep_anti,anti_gap_min,anti_joint_max,anti_deltaA_min,anti_deltaB_min,anti_edge2_min,anti_fit_ZZ,anti_fit_ZZ_unitary,anti_phi_ZZ,Cout_top_plusplus,Cout_diag_plusplus,Cout_anti_plusplus
0.05,0.18437073238496288,0.01221657922788378,0.36832705243686936,0.0075203011071937305,3.354091874150961e-05,0.029053104034879113,0.4244942355328197,0.01158084886665597,1.7752755725379834,1.8131894582423906,0.9496663150863358,0.0031280825276400748,0.7335306137712034,-0.18442477960741196,0.18429807997967299,3.255921719485571e-05,0.3605426054965262
0.06875,0.18467390919400117,0.012325880975839119,0.3689330856859816,0.007544605070764082,3.4144934120181655e-05,0.02914465585878781,0.4224001220404249,0.011507203517247929,1.7739995405032127,1.8119968890017635,0.9493221294394854,0.004309573733194669,0.734732749150184,-0.18472909124837567,0.18450922027710048,3.959307439454946e-05,0.36111022763603773
0.0875,0.18507431439749938,0.012462821861590348,0.36973331305381907,0.007576765431014523,3.4907477988744976e-05,0.029265733538940755,0.4196881267947273,0.011390626752008701,1.7725944471533914,1.8107519044676532,0.9489657533037654,0.005499019687355222,0.7363200204330064,-0.18513092148886667,0.18478749080128742,4.167058201636943e-05,0.3618595429340778
0.10625,0.18557311845282473,0.012621973520672796,0.37072993595908976,0.007616924431095828,3.580228774307387e-05,0.02941682776545127,0.4163432961397883,0.011243308023097358,1.7710566443059075,1.8094540939892156,0.9485917895056615,0.006698510607978186,0.7382967351754454,-0.1856313812648222,0.1851334023055856,3.738453949142483e-05,0.3627924513790948
0.125,0.1861717194350806,0.012796827793347558,0.37192556946266825,0.007665255372007482,3.6796005863134595e-05,0.02959853318871517,0.4123892027344914,0.011083560626463918,1.7693818390589153,1.8081028079236967,0.9481934627976287,0.007910084979436516,0.7406680050298631,-0.18623179071169105,0.18554763309854053,2.534408787701388e-05,0.36391119660706134
0.14375,0.18687171471500647,0.012979922220427487,0.37332318159230854,0.007721961240239892,3.784795638035786e-05,0.02981154123163736,0.4077671262286328,0.010937485004142343,1.7675651504191854,1.8066971884469063,0.9477625503589728,0.009135725104602088,0.7434396240573118,-0.18693364879854918,0.18603107605112132,5.463607246927171e-06,0.36521830612566947
0.16249999999999998,0.1876748741815455,0.013162978441195242,0.3749260363095422,0.007787273589115295,3.891018300283171e-05,0.03005663360889729,0.4021774241817627,0.010840219130519774,1.7656011875751703,1.8052362156030444,0.9472893047402104,0.010377357658853073,0.7466179540567439,-0.18773860480521715,0.18658490593532526,2.895863307613911e-05,0.36671653454351266
0.18125000000000002,0.18858312019093426,0.013337051145859176,0.3767376514011926,0.007861452088255113,3.992786800462709e-05,0.030334678216013364,0.3938722491019427,0.010835805356436183,1.7634841488018371,1.8037187710822364,0.9467623686936335,0.011636860951140651,0.7502098392716008,-0.18864843730735514,0.18721067400986485,7.312590627936903e-05,0.36840882038308276
0.2,0.1895985212369076,0.01349268433491802,0.37876178649339504,0.007944785327090297,4.084022964939509e-05,0.030646629720341125,0.3851659226898265,0.01097434627122502,1.7612079357871706,1.802143721273565,0.9461686803347721,0.012916080736899135,0.7542225805467784,-0.18966504830347192,0.1879104383236217,0.00013083809967720563,0.3702982706400393
0.21875,0.19072330830446585,0.013620068738063412,0.3810024806318572,0.008037593654509359,4.158195330915683e-05,0.030993537959812037,0.3761244547966854,0.011305516521689419,1.7587662719433568,1.800510019374165,0.9454933655852398,0.014216856340773118,0.7586640073419985,-0.19079048225472814,0.18868693959427857,0.0002030612308445418,0.3723881910831481
0.2375,0.19195992475069132,0.013709189172995403,0.38346416292342383,0.008140235047765922,4.2085146228493155e-05,0.03137656806895901,0.3667937970330483,0.011869253158064266,1.7561528047056085,1.7988168235102937,0.9447196127890722,0.015541058389855672,0.7635426939093294,-0.19202698185043313,0.18954383341331923,0.00029052795220215106,0.3746821838591725
0.25625,0.19331112195580974,0.013749943792019678,0.38615186273833024,0.008253115197695223,4.228172557909108e-05,0.031797036982840095,0.35723276524024206,0.012686817408472415,1.7533611608473032,1.7970636237458035,0.943828521772018,0.01689063845932494,0.7688683717135377,-0.19337709383167778,0.19048598946159429,0.000393529291649766,0.3771843364603913
0.27499999999999997,0.19478011333028833,0.013732209837433092,0.38907154668210236,0.008376703129915418,4.210607030357208e-05,0.03225647142679345,0.34748714298232974,0.013755958980285832,1.7503849107737968,1.7952503654125223,0.942798916548488,0.01826768920755012,0.7746525913361588,-0.1948438385763733,0.19151986676290197,0.0005117394404376327,0.3798995263539874
0.29375,0.19637079777424782,0.013645825272602972,0.3922306062858002,0.008511553682206852,4.149772108876437e-05,0.03275669240534784,0.33759675020880664,0.015051374610490257,1.747217383552172,1.7933775494708688,0.9416071076865903,0.019674510959059616,0.7809096803425738,-0.1964309555295241,0.19265396997340364,0.0006440196468642497,0.38283386200459907
0.3125,0.19808805940832272,0.013480457003299614,0.3956385110663559,0.00865833793914978,4.0403943385311546e-05,0.03329993019413234,0.3276068809128265,0.016528435963761565,1.7438512609420078,1.7914462829645634,0.9402265875991429,0.021113677081720877,0.7876580248313454,-0.19814323191376357,0.19389938439767762,0.000788198591968285,0.38599527174705967
0.33125,0.1999381422662226,0.013225341726466654,0.3993076239697931,0.008817882174044837,3.8782135839595224e-05,0.033888971473168536,0.3175718763698059,0.018127255434516577,1.7402778689355376,1.7894582448641887,0.9386276406620787,0.02258808594427357,0.7949216671039848,-0.19998691331660734,0.19527037589443796,0.0009408339168700493,0.389394234908043
0.35,0.20192908565094367,0.01286892615712236,0.40325414803108023,0.008991214844160397,3.660242606870869e-05,0.03452733605060433,0.3073955682101176,0.019775434071514202,1.7364860837085945,1.7874155260671807,0.9367768513869776,0.02410098203350082,0.802732155815462,-0.20197018061428837,0.19678502525431366,0.0010969640074419051,0.39304462280922337
