loop,pauli_left,pauli_right,coefficient
SSH_left,I,I,6.034256562015878e-16
SSH_left,I,X,0.03232851417930862
SSH_left,I,Y,0.01622236809103406
SSH_left,I,Z,-0.0940015410140732
SSH_left,X,I,-6.530027512882208e-05
SSH_left,X,X,-1.360673726469308e-17
SSH_left,X,Y,-2.7533652983448287e-17
SSH_left,X,Z,2.5419390984465773e-15
SSH_left,Y,I,4.2239161387319646e-16
SSH_left,Y,X,-5.439345270081026e-06
SSH_left,Y,Y,-0.00019260767422743259
SSH_left,Y,Z,4.957206028564959e-05
SSH_left,Z,I,-1.4545865854371075e-16
SSH_left,Z,X,0.03232847439881729
SSH_left,Z,Y,0.016222254518577086
SSH_left,Z,Z,-0.09400168933977089
SSH_diag,I,I,1.3877787807814457e-16
SSH_diag,I,X,-4.4825254619240695e-15
SSH_diag,I,Y,3.975986206938842e-15
SSH_diag,I,Z,-0.18799914581640537
SSH_diag,X,I,-1.301334833349408e-16
SSH_diag,X,X,1.691355389077387e-17
SSH_diag,X,Y,-2.3722343533982837e-16
SSH_diag,X,Z,-6.638620724105579e-18
SSH_diag,Y,I,9.84455572616838e-17
SSH_diag,Y,X,5.384147988563015e-16
SSH_diag,Y,Y,-1.474514954580286e-16
SSH_diag,Y,Z,1.1709383462843448e-17
SSH_diag,Z,I,-1.942890293094024e-16
SSH_diag,Z,X,0.06465379704187842
SSH_diag,Z,Y,0.03244229391377521
SSH_diag,Z,Z,-1.5126788710517758e-15
BBH_diag,I,I,8.326672684688674e-16
BBH_diag,I,X,-1.6896206656014101e-15
BBH_diag,I,Y,1.863093013199091e-15
BBH_diag,I,Z,-0.756095925904648
BBH_diag,X,I,-0.054637647830658234
BBH_diag,X,X,-0.001974740438765941
BBH_diag,X,Y,0.04673476271682492
BBH_diag,X,Z,-5.027228633380787e-15
BBH_diag,Y,I,0.0204760765708311
BBH_diag,Y,X,0.024739035649435914
BBH_diag,Y,Y,-0.010063143585674486
BBH_diag,Y,Z,-6.349087922075114e-16
BBH_diag,Z,I,0.49379909472469724
BBH_diag,Z,X,0.0327624353227326
BBH_diag,Z,Y,-0.048706487557884814
BBH_diag,Z,Z,-3.885780586188048e-16
BBH_anti,I,I,-1.0269562977782698e-15
BBH_anti,I,X,1.6653345369377348e-15
BBH_anti,I,Y,1.8214596497756474e-15
BBH_anti,I,Z,0.7560959259046482
BBH_anti,X,I,0.054637647830658095
BBH_anti,X,X,0.001974740438765916
BBH_anti,X,Y,0.04673476271682493
BBH_anti,X,Z,4.871103520542874e-15
BBH_anti,Y,I,0.020476076570830996
BBH_anti,Y,X,0.02473903564943585
BBH_anti,Y,Y,0.010063143585674516
BBH_anti,Y,Z,-4.475586568020162e-16
BBH_anti,Z,I,-0.4937990947246973
BBH_anti,Z,X,-0.032762435322732625
BBH_anti,Z,Y,-0.048706487557884814
BBH_anti,Z,Z,3.885780586188048e-16
BHZ_top,I,I,2.3439063952685477e-16
BHZ_top,I,X,1.2442216783218885e-16
BHZ_top,I,Y,3.2453108530450853e-15
BHZ_top,I,Z,-0.09204897897995093
BHZ_top,X,I,2.2021780182734428e-15
BHZ_top,X,X,4.246657279299848e-15
BHZ_top,X,Y,-5.985874696968008e-05
BHZ_top,X,Z,-2.2298129498892515e-15
BHZ_top,Y,I,8.287208903362711e-16
BHZ_top,Y,X,5.297479577399955e-16
BHZ_top,Y,Y,0.000514193030101126
BHZ_top,Y,Z,-8.21499021899977e-16
BHZ_top,Z,I,8.479848005287774e-17
BHZ_top,Z,X,-1.9956788065604946e-16
BHZ_top,Z,Y,-3.3067719565804283e-15
BHZ_top,Z,Z,-0.09204679983156991
BHZ_diag,I,I,-4.996003610813204e-16
BHZ_diag,I,X,-8.782972721506355e-15
BHZ_diag,I,Y,5.8531213323375145e-15
BHZ_diag,I,Z,-0.18397548432778488
BHZ_diag,X,I,-2.7834092922861427e-16
BHZ_diag,X,X,-1.093756704130533e-16
BHZ_diag,X,Y,0.006078433964373971
BHZ_diag,X,Z,4.975141454020127e-16
BHZ_diag,Y,I,-5.183132247102993e-16
BHZ_diag,Y,X,3.196228004487267e-16
BHZ_diag,Y,Y,-1.467806453638032e-16
BHZ_diag,Y,Z,2.4669982819547267e-16
BHZ_diag,Z,I,-1.3877787807814457e-17
BHZ_diag,Z,X,8.852714026251485e-15
BHZ_diag,Z,Y,-6.16116349833138e-15
BHZ_diag,Z,Z,3.3306690738754696e-16
BHZ_anti,I,I,3.469446951953614e-17
BHZ_anti,I,X,8.072901103284705e-15
BHZ_anti,I,Y,1.3048624892835055e-15
BHZ_anti,I,Z,9.853229343548264e-16
BHZ_anti,X,I,-4.602356721750904e-15
BHZ_anti,X,X,-5.280856044046526e-16
BHZ_anti,X,Y,1.4743812078875718e-15
BHZ_anti,X,Z,2.912698768808866e-15
BHZ_anti,Y,I,1.4094465962892868e-14
BHZ_anti,Y,X,-1.473405425932123e-15
BHZ_anti,Y,Y,-5.118800832586612e-16
BHZ_anti,Y,Z,-1.4229156525456523e-14
BHZ_anti,Z,I,-1.1587952819525071e-15
BHZ_anti,Z,X,-2.763801194838679e-15
BHZ_anti,Z,Y,-4.406853515647333e-15
BHZ_anti,Z,Z,-0.18408423001093188
