model,loop,D_loc_original,D_loc_swapped,c1_original,c1_swapped,c2_original,c2_swapped
SSH,C_L,0.20135615693512618,0.20135615693512668,0.20144096533823308,0.20144096533823444,0.00036455936275722745,0.0003645593627571303
SSH,C_diag,0.1437901762675163,0.14379017626751972,0.1438211625217003,0.14382116252170396,2.6229018956769323e-15,3.2057689836051395e-15
SSH,C_anti,0.3751225949110899,0.37512259491108924,0.375674631084955,0.3756746310849558,7.168852484598642e-05,7.168852484476518e-05
BHZ,C_T,0.1840315086135805,0.18403430074619523,0.18409359966313957,0.18409359966313893,0.0010338695024649514,0.001449463277724411
BHZ,C_+,0.01208838561406606,0.014361922512120437,0.012088404014813672,0.014361953370209117,2.2991157588858613e-14,2.1798535199124558e-14
BHZ,C_-,0.3676488415920528,0.3676488415920487,0.36816846002186465,0.36816846002186115,3.4416913763379853e-15,2.275957200481571e-15
BBH,C_x,0.014074665718318237,0.014074843375501349,0.01407469476158426,0.014074872419867232,7.920747391310101e-15,2.7495367094232392e-15
BBH,C_y,0.008200925776722925,0.008116762820879638,0.007880376221028246,0.007882091582616676,0.002270457029394352,0.001937674079337317
BBH,C_diag,0.14838347611334707,0.14835216096961398,0.13753786372548216,0.1374211405897136,0.055821257780038554,0.05602529459832346
