model,variant,loop,D_loc,ep_mean,gap_min,joint_max
SSH,reference,left,0.2013561569351277,0.0090061644963413,0.2606005406844873,0.0008313808620424
SSH,reference,diag,0.1437901762675264,0.0044753150481129,0.2605302410152774,0.0011594724976253
SSH,edge_variant,left,0.2013561569351313,0.0090061644963578,0.2606005406844873,0.0008313808620424
SSH,edge_variant,diag,0.1437901762675222,0.0044753150480946,0.2605302410152774,0.0011594724976253
SSH,spin_variant,left,0.2013561568248937,0.0089767950877501,0.2606005406844873,0.0007194968158249
SSH,spin_variant,diag,0.1418660460521807,0.0043907502040623,0.2605302410152774,0.0011493507753182
SSH,combined_variant,left,0.2013561568249008,0.0089767950877579,0.2606005406844873,0.0007194968158249
SSH,combined_variant,diag,0.1418660460521769,0.0043907502040535,0.2605302410152774,0.0011493507753182
BBH,reference,x,0.0140746657183203,4.413842062992346e-05,0.02873523724915,0.012178840346096
BBH,reference,diag,0.1483834761133527,0.004880896375425,0.0213294100213237,0.0204595240717376
BBH,cubic_variant,x,0.0138967055470365,4.302971639587295e-05,0.02873523724915,0.0192763157752196
BBH,cubic_variant,diag,0.1490672956699031,0.0049245047087437,0.0213294100213237,0.031867177272246
BHZ,reference,diag,0.0120883856140639,3.2833832123781896e-05,0.4268759788294322,0.0103284859569839
BHZ,reference,anti,0.3676488415920521,0.0289507953556249,0.4268759788294326,0.0115193178066675
BHZ,side_variant,diag,0.0120883856140646,3.2833832114994655e-05,0.4268759788294322,0.0101731077752385
BHZ,side_variant,anti,0.3676488415920534,0.0289507953556288,0.4268759788294326,0.0122821661315992
BHZ,spin_variant,diag,0.0120883856140584,3.291460029598587e-05,0.4268759788294322,0.0108872533609922
BHZ,spin_variant,anti,0.3676488415920509,0.0287050562688036,0.4268759788294326,0.01200236769173
BHZ,combined_variant,diag,0.0120883856140425,3.2914600312787534e-05,0.4268759788294322,0.0099167467315746
BHZ,combined_variant,anti,0.3676488415920512,0.0287050562687888,0.4268759788294326,0.0121074495612732
